Codigo de INE,Nombre,,,,,
2,Albacete,,,Albacete,,"('2','Albacete'),"
3,Alicante/Alacant,,,Alicante/Alacant,,"('3','Alicante/Alacant'),"
4,Almería,,,Almería,,"('4','Almería'),"
1,Araba/Álava,,,Araba/Álava,,"('1','Araba/Álava'),"
33,Asturias,,,Asturias,,"('33','Asturias'),"
5,Ávila,,,Ávila,,"('5','Ávila'),"
6,Badajoz,,,Badajoz,,"('6','Badajoz'),"
7,Balears, Illes,,Balears Illes,,"('7','Balears Illes'),"
8,Barcelona,,,Barcelona,,"('8','Barcelona'),"
48,Bizkaia,,,Bizkaia,,"('48','Bizkaia'),"
9,Burgos,,,Burgos,,"('9','Burgos'),"
10,Cáceres,,,Cáceres,,"('10','Cáceres'),"
11,Cádiz,,,Cádiz,,"('11','Cádiz'),"
39,Cantabria,,,Cantabria,,"('39','Cantabria'),"
12,Castellón/Castelló,,,Castellón/Castelló,,"('12','Castellón/Castelló'),"
13,Ciudad Real,,,Ciudad Real,,"('13','Ciudad Real'),"
14,Córdoba,,,Córdoba,,"('14','Córdoba'),"
15,Coruña, A,,Coruña A,,"('15','Coruña A'),"
16,Cuenca,,,Cuenca,,"('16','Cuenca'),"
20,Gipuzkoa,,,Gipuzkoa,,"('20','Gipuzkoa'),"
17,Girona,,,Girona,,"('17','Girona'),"
18,Granada,,,Granada,,"('18','Granada'),"
19,Guadalajara,,,Guadalajara,,"('19','Guadalajara'),"
21,Huelva,,,Huelva,,"('21','Huelva'),"
22,Huesca,,,Huesca,,"('22','Huesca'),"
23,Jaén,,,Jaén,,"('23','Jaén'),"
24,León,,,León,,"('24','León'),"
25,Lleida,,,Lleida,,"('25','Lleida'),"
27,Lugo,,,Lugo,,"('27','Lugo'),"
28,Madrid,,,Madrid,,"('28','Madrid'),"
29,Málaga,,,Málaga,,"('29','Málaga'),"
30,Murcia,,,Murcia,,"('30','Murcia'),"
31,Navarra,,,Navarra,,"('31','Navarra'),"
32,Ourense,,,Ourense,,"('32','Ourense'),"
34,Palencia,,,Palencia,,"('34','Palencia'),"
35,Palmas, Las,,Palmas Las,,"('35','Palmas Las'),"
36,Pontevedra,,,Pontevedra,,"('36','Pontevedra'),"
26,Rioja, La,,Rioja La,,"('26','Rioja La'),"
37,Salamanca,,,Salamanca,,"('37','Salamanca'),"
38,Santa Cruz de Tenerife,,,Santa Cruz de Tenerife,,"('38','Santa Cruz de Tenerife'),"
40,Segovia,,,Segovia,,"('40','Segovia'),"
41,Sevilla,,,Sevilla,,"('41','Sevilla'),"
42,Soria,,,Soria,,"('42','Soria'),"
43,Tarragona,,,Tarragona,,"('43','Tarragona'),"
44,Teruel,,,Teruel,,"('44','Teruel'),"
45,Toledo,,,Toledo,,"('45','Toledo'),"
46,Valencia/València,,,Valencia/València,,"('46','Valencia/València'),"
47,Valladolid,,,Valladolid,,"('47','Valladolid'),"
49,Zamora,,,Zamora,,"('49','Zamora'),"
50,Zaragoza,,,Zaragoza,,"('50','Zaragoza'),"
51,Ceuta,,,Ceuta,,"('51','Ceuta'),"
52,Melilla,,,Melilla,,"('52','Melilla'),"
