codprov codmun    codmunotr nombre                                             
       1      1001      1001ALEGRIA-DULANTZI                                   
       1      1002      1002AMURRIO                                            
       1      1003      1004ARAMAIO                                            
       1      1004      1005ARTZINIEGA                                         
       1      1006      1007ARMIÑON                                            
       1      1008      1009ARRATZUA-UBARRUNDIA                                
       1      1009      1010ASPARRENA                                          
       1      1010      1011AYALA/AIARA                                        
       1      1011      1012BAÑOS DE EBRO/MAÑUETA                              
       1      1013      1014BARRUNDIA                                          
       1      1014      1015BERANTEVILLA                                       
       1      1016         0BERNEDO                                            
       1      1017      1061CAMPEZO/KANPEZU                                    
       1      1018      1018ZIGOITIA                                           
       1      1019      1020KRIPAN                                             
       1      1020      1021KUARTANGO                                          
       1      1021      1022ELBURGO/BURGELU                                    
       1      1022      1023ELCIEGO                                            
       1      1023      1024ELVILLAR/BILAR                                     
       1      1027      1029IRURAIZ-GAUNA                                      
       1      1028      1030LABASTIDA/BASTIDA                                  
       1      1030      1032LAGRAN                                             
       1      1031      1033LAGUARDIA                                          
       1      1032      1034LANCIEGO/LANTZIEGO                                 
       1      1033      1035LAPUEBLA DE LABARCA                                
       1      1034      1036LEZA                                               
       1      1036      1038LAUDIO/LLODIO                                      
       1      1037      1039ARRAIA-MAEZTU                                      
       1      1039      1042MOREDA DE ALAVA/MOREDA ARABA                       
       1      1041      1044NAVARIDAS                                          
       1      1042      1045OKONDO                                             
       1      1043      1048OYON-OION                                          
       1      1044      1049PEÑACERRADA-URIZAHARRA                             
       1      1046      1052ERRIBERAGOITIA/RIBERA ALTA                         
       1      1047      1053RIBERA BAJA/ERRIBERA BEITIA                        
       1      1049      1055AÑANA                                              
       1      1051      1057SALVATIERRA/AGURAIN                                
       1      1052      1058SAMANIEGO                                          
       1      1053      1059SAN MILLAN/DONEMILIAGA                             
       1      1054      1062URKABUSTAIZ                                        
       1      1055      1063VALDEGOVIA/GAUBEA                                  
       1      1056      1065HARANA/VALLE DE ARANA                              
       1      1057      1066VILLABUENA DE ALAVA/ESKUERNAGA                     
       1      1058      1067LEGUTIO                                            
       1      1059      1900VITORIA-GASTEIZ                                    
       1      1060      1069YECORA/IEKORA                                      
       1      1061      1070ZALDUONDO                                          
       1      1062      1071ZAMBRANA                                           
       1      1063      1072ZUIA                                               
       1      1901      1043IRUÑA OKA/IRUÑA DE OCA                             
       1      1902      1054LANTARON                                           
       2      2001      2001ABENGIBRE                                          
       2      2002      2002ALATOZ                                             
       2      2003      2900ALBACETE                                           
       2      2004      2004ALBATANA                                           
       2      2005      2005ALBOREA                                            
       2      2006      2006ALCADOZO                                           
