codprov,codmun,codmunotr,nombre,,
1,1001,1001,ALEGRIA-DULANTZI,,"('1001','1001','1','ALEGRIA-DULANTZI'),"
1,1002,1002,AMURRIO,,"('1002','1002','1','AMURRIO'),"
1,1003,1004,ARAMAIO,,"('1003','1004','1','ARAMAIO'),"
1,1004,1005,ARTZINIEGA,,"('1004','1005','1','ARTZINIEGA'),"
1,1006,1007,ARMIÑON,,"('1006','1007','1','ARMIÑON'),"
1,1008,1009,ARRATZUA-UBARRUNDIA,,"('1008','1009','1','ARRATZUA-UBARRUNDIA'),"
1,1009,1010,ASPARRENA,,"('1009','1010','1','ASPARRENA'),"
1,1010,1011,AYALA/AIARA,,"('1010','1011','1','AYALA/AIARA'),"
1,1011,1012,BAÑOS DE EBRO/MAÑUETA,,"('1011','1012','1','BAÑOS DE EBRO/MAÑUETA'),"
1,1013,1014,BARRUNDIA,,"('1013','1014','1','BARRUNDIA'),"
1,1014,1015,BERANTEVILLA,,"('1014','1015','1','BERANTEVILLA'),"
1,1016,0,BERNEDO,,"('1016','0','1','BERNEDO'),"
1,1017,1061,CAMPEZO/KANPEZU,,"('1017','1061','1','CAMPEZO/KANPEZU'),"
1,1018,1018,ZIGOITIA,,"('1018','1018','1','ZIGOITIA'),"
1,1019,1020,KRIPAN,,"('1019','1020','1','KRIPAN'),"
1,1020,1021,KUARTANGO,,"('1020','1021','1','KUARTANGO'),"
1,1021,1022,ELBURGO/BURGELU,,"('1021','1022','1','ELBURGO/BURGELU'),"
1,1022,1023,ELCIEGO,,"('1022','1023','1','ELCIEGO'),"
1,1023,1024,ELVILLAR/BILAR,,"('1023','1024','1','ELVILLAR/BILAR'),"
1,1027,1029,IRURAIZ-GAUNA,,"('1027','1029','1','IRURAIZ-GAUNA'),"
1,1028,1030,LABASTIDA/BASTIDA,,"('1028','1030','1','LABASTIDA/BASTIDA'),"
1,1030,1032,LAGRAN,,"('1030','1032','1','LAGRAN'),"
1,1031,1033,LAGUARDIA,,"('1031','1033','1','LAGUARDIA'),"
1,1032,1034,LANCIEGO/LANTZIEGO,,"('1032','1034','1','LANCIEGO/LANTZIEGO'),"
1,1033,1035,LAPUEBLA DE LABARCA,,"('1033','1035','1','LAPUEBLA DE LABARCA'),"
1,1034,1036,LEZA,,"('1034','1036','1','LEZA'),"
1,1036,1038,LAUDIO/LLODIO,,"('1036','1038','1','LAUDIO/LLODIO'),"
1,1037,1039,ARRAIA-MAEZTU,,"('1037','1039','1','ARRAIA-MAEZTU'),"
1,1039,1042,MOREDA DE ALAVA/MOREDA ARABA,,"('1039','1042','1','MOREDA DE ALAVA/MOREDA ARABA'),"
1,1041,1044,NAVARIDAS,,"('1041','1044','1','NAVARIDAS'),"
1,1042,1045,OKONDO,,"('1042','1045','1','OKONDO'),"
1,1043,1048,OYON-OION,,"('1043','1048','1','OYON-OION'),"
1,1044,1049,PEÑACERRADA-URIZAHARRA,,"('1044','1049','1','PEÑACERRADA-URIZAHARRA'),"
1,1046,1052,ERRIBERAGOITIA/RIBERA ALTA,,"('1046','1052','1','ERRIBERAGOITIA/RIBERA ALTA'),"
1,1047,1053,RIBERA BAJA/ERRIBERA BEITIA,,"('1047','1053','1','RIBERA BAJA/ERRIBERA BEITIA'),"
1,1049,1055,AÑANA,,"('1049','1055','1','AÑANA'),"
1,1051,1057,SALVATIERRA/AGURAIN,,"('1051','1057','1','SALVATIERRA/AGURAIN'),"
1,1052,1058,SAMANIEGO,,"('1052','1058','1','SAMANIEGO'),"
1,1053,1059,SAN MILLAN/DONEMILIAGA,,"('1053','1059','1','SAN MILLAN/DONEMILIAGA'),"
1,1054,1062,URKABUSTAIZ,,"('1054','1062','1','URKABUSTAIZ'),"
