Cd   Prov                      codigo                                
    1Álava/Araba               <option value='Álava/Araba'>Álava/Arab
    2Albacete                  <option value='Albacete'>Albacete</opt
    3Alicante/Alacant          <option value='Alicante/Alacant'>Alica
    4Almería                   <option value='Almería'>Almería</optio
   33Asturias                  <option value='Asturias'>Asturias</opt
    5Ávila                     <option value='Ávila'>Ávila</option>  
    6Badajoz                   <option value='Badajoz'>Badajoz</optio
    7Balears, Illes            <option value='Balears, Illes'>Balears
    8Barcelona                 <option value='Barcelona'>Barcelona</o
   48Bizkaia                   <option value='Bizkaia'>Bizkaia</optio
    9Burgos                    <option value='Burgos'>Burgos</option>
   10Cáceres                   <option value='Cáceres'>Cáceres</optio
   11Cádiz                     <option value='Cádiz'>Cádiz</option>  
   39Cantabria                 <option value='Cantabria'>Cantabria</o
   12Castellón/Castelló        <option value='Castellón/Castelló'>Cas
   51Ceuta                     <option value='Ceuta'>Ceuta</option>  
   13Ciudad Real               <option value='Ciudad Real'>Ciudad Rea
   14Córdoba                   <option value='Córdoba'>Córdoba</optio
   15Coruña, A                 <option value='Coruña, A'>Coruña, A</o
   16Cuenca                    <option value='Cuenca'>Cuenca</option>
   20Gipuzkoa                  <option value='Gipuzkoa'>Gipuzkoa</opt
   17Girona                    <option value='Girona'>Girona</option>
   18Granada                   <option value='Granada'>Granada</optio
   19Guadalajara               <option value='Guadalajara'>Guadalajar
   21Huelva                    <option value='Huelva'>Huelva</option>
   22Huesca                    <option value='Huesca'>Huesca</option>
   23Jaén                      <option value='Jaén'>Jaén</option>    
   24León                      <option value='León'>León</option>    
   25Lleida                    <option value='Lleida'>Lleida</option>
   27Lugo                      <option value='Lugo'>Lugo</option>    
   28Madrid                    <option value='Madrid'>Madrid</option>
   29Málaga                    <option value='Málaga'>Málaga</option>
   52Melilla                   <option value='Melilla'>Melilla</optio
   30Murcia                    <option value='Murcia'>Murcia</option>
   31Navarra                   <option value='Navarra'>Navarra</optio
   32Ourense                   <option value='Ourense'>Ourense</optio
   34Palencia                  <option value='Palencia'>Palencia</opt
   35Palmas, Las               <option value='Palmas, Las'>Palmas, La
   36Pontevedra                <option value='Pontevedra'>Pontevedra<
   26Rioja, La                 <option value='Rioja, La'>Rioja, La</o
   37Salamanca                 <option value='Salamanca'>Salamanca</o
   38Santa Cruz de Tenerife    <option value='Santa Cruz de Tenerife'
   40Segovia                   <option value='Segovia'>Segovia</optio
   41Sevilla                   <option value='Sevilla'>Sevilla</optio
   42Soria                     <option value='Soria'>Soria</option>  
   43Tarragona                 <option value='Tarragona'>Tarragona</o
   44Teruel                    <option value='Teruel'>Teruel</option>
   45Toledo                    <option value='Toledo'>Toledo</option>
   46Valencia/València         <option value='Valencia/València'>Vale
   47Valladolid                <option value='Valladolid'>Valladolid<
   49Zamora                    <option value='Zamora'>Zamora</option>
   50Zaragoza                  <option value='Zaragoza'>Zaragoza</opt
